ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2018-01-02,38,39709,628,Employed,Associate,15,26045,48,0,1,Mortgage,496,0.0878269682003487,5,3,0.330273669928854,0,Debt Consolidation,0,21,9,4627,3460,53204,9595,3309.083333333333,0.9351320992549323,3,43609,0.207045,0.2010771214969362,794.0542382198969,0.3898524480253535,0,52.0
2018-01-05,37,103264,594,Employed,Associate,17,9184,36,1,1,Mortgage,274,0.3205353247385241,0,0,0.0788842122687955,0,Debt Consolidation,0,26,27,1555,4981,244305,17286,8605.333333333334,0.9413687393229144,5,227019,0.197184,0.1759901787753283,330.17914048482373,0.0702098474378087,1,36.0
2018-01-10,46,40615,612,Employed,Associate,19,25443,12,1,4,Other,704,0.5124646439687668,3,2,0.5051480267602317,0,Other,0,23,10,1028,446,129664,12852,3384.583333333333,0.6153232100036344,3,116812,0.184443,0.1972706023859007,2353.577423938191,0.9033837027516506,0,53.0
2018-01-11,34,73646,478,Employed,Associate,10,48716,84,0,3,Own,267,0.2112359879576895,4,1,0.0814447301385817,0,Auto,0,25,7,9266,3875,148966,20315,6137.166666666667,0.6784469665655821,4,128651,0.334716,0.3335388817645363,1504.4524892505112,0.2886433733129584,0,47.0
2018-01-14,18,100508,580,Employed,Associate,0,20439,60,1,1,Rent,247,0.1686248463190475,5,2,0.5813609803865023,0,Other,1,20,3,2027,916,181813,99030,8375.666666666666,0.5437487788048109,6,82783,0.235439,0.245374273754178,594.3815331706401,0.1004554701919019,0,63.0
2018-01-20,23,34698,594,Employed,Associate,0,14314,60,Widowed,3,Mortgage,755,0.1872028404084978,5,0,0.1005979617163389,0,Debt Consolidation,0,27,29,3721,2098,128035,72605,2891.5,0.874070288426121,5,55430,0.222314,0.2314783138154811,404.73508890905856,0.4010842430949536,0,48.0
2018-01-22,37,59138,594,Employed,Associate,14,13205,72,1,0,Own,564,0.3937721883778739,2,1,0.1116632265342507,0,Auto,0,18,9,1187,5192,24257,18681,4928.166666666667,0.8131010247954645,4,5576,0.231205,0.2114439606199491,325.1174211273312,0.1804154528987787,0,51.0
2018-01-24,22,63300,503,Employed,Associate,0,16476,24,1,2,Rent,376,0.3896493754670718,3,1,0.2357985888572082,0,Home,0,29,7,2154,1735,14710,53225,5275.0,0.8707229525687034,5,6903,0.2399759999999999,0.231670288042,864.2694728341611,0.2351221749448646,0,53.0
2018-01-27,26,15059,462,Employed,Associate,0,20240,24,0,3,Other,443,0.0988217595655066,2,0,0.0670663376140666,0,Home,0,16,25,713,7335,29861,13107,1254.9166666666667,0.5990271745774041,12,16754,0.26424,0.2460206651026253,1076.2027060960763,1.2106004696960564,0,51.0
2018-02-04,49,34738,520,Employed,Associate,25,10166,72,0,2,Mortgage,388,0.5663402048797452,3,3,0.3145138105264432,0,Home,0,27,4,1767,2757,249298,10972,2894.833333333333,0.8798337627925418,2,238326,0.265166,0.2739332434358121,288.9598327490928,0.2338510562781137,0,55.0
