ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2018-01-03,47,40724,570,Employed,Bachelor,26,17627,36,1,2,Rent,902,0.1374141042375972,2,0,0.2447291091328494,0,Education,0,20,22,886,895,25176,128874,3393.6666666666665,0.8722406105782907,6,5205,0.217627,0.2125480098452577,666.4066876774697,0.4621569652325321,0,52.0
2018-01-09,34,116841,603,Employed,Bachelor,12,55353,60,Divorced,5,Own,638,0.1927011647841362,3,0,0.3132332595016429,1,Debt Consolidation,0,25,29,1157,708,29632,49940,9736.75,0.7283969266537559,3,7711,0.258853,0.291539424809367,1762.1990260211653,0.2465092588411087,0,61.0
2018-01-12,34,15000,591,Employed,Bachelor,11,30088,24,1,2,Mortgage,295,0.3121837751773506,5,1,0.3466856611903402,0,Home,0,21,28,259,348,33062,3353,1250.0,0.8420154706035147,3,29709,0.209588,0.1824011978415739,1505.6095277284012,1.440487622182721,0,56.0
2018-01-13,42,74453,573,Employed,Bachelor,21,16154,60,1,1,Rent,258,0.527488434435663,6,0,0.3710335920591852,0,Debt Consolidation,0,26,7,781,1633,16204,35493,6204.416666666667,0.7189488829956874,5,5231,0.234654,0.2556845305679195,479.5398903097801,0.1188733655288216,0,56.0
2018-01-15,19,47624,597,Employed,Bachelor,0,27197,36,1,1,Mortgage,196,0.1149665642522752,2,1,0.7515148192746655,0,Debt Consolidation,0,15,21,2971,576,45336,9418,3968.6666666666665,0.7199405535105939,3,35918,0.213697,0.2022289217809192,1013.8293748263418,0.3048452985451894,0,58.0
2018-01-18,43,142326,644,Employed,Bachelor,24,13499,96,Widowed,2,Mortgage,772,0.2225792308926875,1,2,0.29546987577122,0,Other,0,18,2,13247,856,73836,4213,11860.5,0.9710625003288936,5,69623,0.226499,0.2237947653068069,303.1952309300833,0.090653448921216,1,39.2
2018-01-28,44,15305,608,Self-Employed,Bachelor,23,21452,48,0,4,Mortgage,443,0.1113146919186794,1,1,0.0631537920264881,0,Home,0,21,29,9547,979,16936,7005,1275.4166666666667,0.9076742682849762,2,9931,0.212452,0.2253753021812303,682.1440641557417,0.8821776393249853,0,51.0
2018-01-30,36,60227,576,Employed,Bachelor,14,25264,84,Divorced,3,Own,458,0.2782753429555818,3,1,0.1441126824725377,0,Home,0,27,28,5391,1993,141168,35773,5018.916666666667,0.8143479855465142,5,105395,0.262264,0.239128970981678,622.0190932780162,0.215189684349813,1,36.8
2018-02-02,39,61099,559,Employed,Bachelor,19,10094,84,1,0,Mortgage,380,0.1283514136335209,1,0,0.265219566244273,0,Auto,0,21,19,2987,1795,69823,23540,5091.583333333333,0.8802478786881707,4,46283,0.255594,0.2610500458274805,262.6701511744103,0.1262220627848725,0,51.0
2018-02-05,25,85889,571,Employed,Bachelor,3,24186,72,1,2,Rent,870,0.3316567652324292,4,0,0.0505386436633547,0,Education,0,31,10,14921,1110,18899,5554,7157.416666666667,0.9056850659655092,4,13345,0.253686,0.2796177481671844,696.1364545483091,0.2188130896224162,0,49.0
2018-02-09,42,163303,655,Self-Employed,Bachelor,23,12850,72,0,2,Other,337,0.3579693126478545,3,0,0.072959105598751,0,Debt Consolidation,0,19,1,3012,309,115322,17900,13608.583333333334,0.9150967945185952,8,97422,0.20035,0.1895312940882554,300.0461613403112,0.0468120851183611,1,37.6
2018-02-11,42,99920,582,Self-Employed,Bachelor,20,23363,12,0,3,Other,298,0.615080763381052,3,2,0.2058309595482642,0,Debt Consolidation,0,20,11,991,288,27778,23569,8326.666666666666,0.7297761837911412,10,4209,0.197363,0.1754356855019271,2136.847992796173,0.2924156916888919,1,44.8
2018-02-24,52,272693,586,Employed,Bachelor,28,19717,84,1,0,Rent,278,0.3724747249366798,2,2,0.2701575024326625,0,Auto,0,19,13,801,1835,94338,5443,22724.416666666668,0.7444943912584154,8,88895,0.251717,0.2181145262191699,459.5963314611698,0.0324583175128589,1,38.400000000000006
2018-02-25,51,48757,615,Employed,Bachelor,27,16173,84,Divorced,3,Mortgage,817,0.2107139712881695,1,0,0.3053767173882865,0,Debt Consolidation,0,28,19,21739,266,39354,97462,4063.0833333333335,0.4913421694393113,2,3120,0.233673,0.221322804523553,380.1899401553989,0.2946505995419076,0,52.0
2018-02-28,43,72408,616,Employed,Bachelor,18,23181,48,1,0,Rent,803,0.2346544414979507,1,2,0.3654388165555161,1,Debt Consolidation,0,22,29,3815,305,22524,33442,6034.0,0.820967193532392,4,5786,0.210181,0.2522172,771.4847975541575,0.2609354984345637,0,63.0
2018-03-04,26,77555,527,Employed,Bachelor,5,22854,36,1,0,Rent,499,0.0954795705875424,6,1,0.1882781482364729,0,Education,0,19,22,8710,691,39027,9580,6462.916666666667,0.8824741117777509,5,29447,0.244354,0.1999300668014297,849.2551010144613,0.2086140314895691,1,39.2
2018-03-06,49,24973,611,Employed,Bachelor,30,17466,48,1,3,Own,336,0.2800815869769942,1,0,0.4149944474463848,0,Auto,0,23,12,3167,1547,44944,30121,2081.083333333333,0.8723462860748266,9,14823,0.206966,0.2214430975949385,551.6544409318947,0.4265347892196666,0,55.0
