ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2018-01-16,33,56650,605,Employed,Doctorate,11,12652,36,0,1,Mortgage,336,0.4234308630650563,4,0,0.0441568040602275,0,Auto,0,21,15,242,131,261435,11144,4720.833333333333,0.8372135908452825,2,250291,0.195152,0.2164127524804118,480.8408279537298,0.1730289485515403,1,33.6
2018-01-17,27,50042,582,Employed,Doctorate,7,19105,60,0,1,Rent,680,0.1039191338396645,6,3,0.308869314312398,0,Debt Consolidation,0,36,14,2214,1219,11162,89196,4170.166666666667,0.9208669734304104,5,7021,0.233105,0.1871293871402189,492.58144374273706,0.2811833524821718,0,53.0
2018-01-23,40,114216,635,Employed,Doctorate,17,9809,60,0,3,Rent,571,0.2241874208084188,3,1,0.6304483929012554,0,Home,0,26,2,720,2127,23984,27250,9518.0,0.8518390523096648,10,2482,0.197309,0.2011140337279482,260.48690525168723,0.0873594142941465,1,46.400000000000006
2018-02-20,43,121939,653,Employed,Doctorate,25,41215,48,Divorced,0,Mortgage,220,0.5329414041983653,2,1,0.2444251231872098,0,Other,0,30,12,1365,4000,188167,2457,10161.583333333334,0.8446177031890929,8,185710,0.209715,0.1846492795717869,1220.7265633854008,0.1417817003634998,1,32.800000000000004
2018-03-21,18,40050,545,Self-Employed,Doctorate,0,112253,48,1,1,Rent,406,0.3061276212624648,4,1,0.184527533056013,0,Home,1,33,2,1506,726,18390,29714,3337.5,0.9370302423573678,4,7672,0.3347529999999999,0.3584856961488986,4432.382784161488,1.4497027068648651,0,64.0
2018-04-07,43,55308,645,Employed,Doctorate,22,19539,72,0,0,Other,362,0.0715581905110223,3,0,0.2662099288951911,0,Debt Consolidation,0,29,24,5995,932,101618,7871,4609.0,0.9664762707448832,4,93747,0.212039,0.1696312,434.265166928783,0.1727631084679503,1,36.8
2018-04-28,25,41402,572,Employed,Doctorate,4,25900,36,1,4,Mortgage,419,0.1113135565726894,2,2,0.0923347235350403,0,Home,0,29,21,9920,6772,36312,37402,3450.1666666666665,0.729440679148017,6,4623,0.2249,0.2377350219528855,1013.0533057953522,0.4150678631356994,0,50.0
2018-06-08,25,34276,574,Employed,Doctorate,3,5163,96,1,3,Rent,365,0.3068512432051159,3,0,0.1981528554668243,0,Debt Consolidation,0,27,26,3141,42,38198,5950,2856.333333333333,0.6432778154586831,6,32248,0.253163,0.2516654856745215,125.3743363618091,0.1716796602970506,0,51.0
2018-06-10,28,72220,546,Employed,Doctorate,5,11336,36,1,1,Mortgage,533,0.0749757526584197,2,2,0.0943437121914956,0,Debt Consolidation,0,27,28,1517,1581,125642,21847,6018.333333333333,0.8586571733035676,9,103795,0.223336,0.2124214087649371,428.4952003309024,0.1597610413177905,1,36.0
2018-07-03,45,117455,652,Unemployed,Doctorate,21,19372,48,Divorced,3,Own,697,0.24441493145149,2,0,0.6809138064677995,0,Auto,1,26,6,3583,11199,288436,9076,9787.916666666666,0.7402011020414656,3,279360,0.188372,0.1858106205731819,574.9512772267276,0.1299511755712462,1,44.8
