ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2018-01-04,58,69084,545,Employed,High School,34,37898,96,0,1,Mortgage,755,0.2675871369453283,2,1,0.4362442650682687,0,Home,0,27,10,1675,1217,104822,5370,5757.0,0.8961547069636465,5,99452,0.300398,0.3009108491496013,1047.5069802292967,0.3130983116604649,0,54.0
2018-01-07,58,51250,564,Employed,High School,39,12741,48,1,0,Rent,337,0.3673803425383352,6,1,0.1274727031804663,0,Other,0,21,18,5161,1735,65624,43894,4270.833333333333,0.8842751265040522,5,21730,0.225741,0.2052709678061031,391.30035166528967,0.1705288628289459,0,50.0
2018-01-08,49,97345,516,Employed,High School,23,19634,12,Divorced,5,Mortgage,288,0.2097675831677214,5,0,0.3955676351247315,0,Other,0,19,11,781,74,50177,11556,8112.083333333333,0.9334924144306608,5,38621,0.226634,0.2091129420982145,1827.3600549751063,0.2607665587313296,1,42.400000000000006
2018-01-19,29,16021,553,Employed,High School,8,14655,72,0,0,Rent,286,0.5560300102027713,5,1,0.1045686898825265,0,Debt Consolidation,1,25,12,8651,1127,29278,25345,1335.0833333333333,0.9491878340554412,4,3933,0.253155,0.2347662128605438,381.1768758297885,0.4997267654926323,0,59.0
2018-01-26,41,59192,594,Unemployed,High School,16,45608,36,Divorced,4,Mortgage,222,0.4093363654675574,4,0,0.2301158454793847,0,Auto,0,18,1,21084,3449,67609,9196,4932.666666666667,0.8443952357304327,3,58413,0.233608,0.2006826444515419,1696.5434894688626,0.3889465109073244,0,58.0
2018-01-31,32,23861,592,Self-Employed,High School,10,19570,36,1,0,Other,521,0.2327773061723514,2,3,0.2237112245223063,0,Auto,0,29,27,3348,1072,85166,8627,1988.4166666666667,0.773488801049033,8,76539,0.20857,0.197034892145729,724.3380618289065,0.6262963304952381,0,55.0
2018-02-03,27,15000,535,Employed,High School,4,11318,120,0,2,Mortgage,721,0.5827549421963798,2,3,0.4483848187309043,0,Home,0,15,18,4172,3835,303949,13680,1250.0,0.8655246599640286,1,290269,0.298818,0.3435940105064144,335.3986467038278,0.8451189173630622,0,53.0
2018-02-10,48,38453,595,Unemployed,High School,26,30517,48,Divorced,0,Own,560,0.3824377045646856,0,0,0.103003264767073,0,Home,0,22,20,5165,1539,46352,3481,3204.4166666666665,0.793542960098904,6,42871,0.228017,0.2262305329127014,971.8230602281166,0.4780349185430889,0,54.0
2018-02-12,38,57860,591,Employed,High School,20,25576,96,1,4,Rent,159,0.144070320692704,3,0,0.0743870323199498,0,Auto,0,27,1,2059,427,463089,25653,4821.666666666667,0.841298379347302,8,437436,0.265076,0.2876549577385666,683.4043512189653,0.1747122747083923,0,47.0
2018-02-13,36,30890,590,Employed,High School,16,10176,24,Divorced,2,Own,289,0.2138637490821043,3,1,0.1247302171537788,0,Education,0,23,6,11162,249,43010,28334,2574.1666666666665,0.808568548732828,7,14676,0.1901759999999999,0.1765266450530429,506.3215206405897,0.3089627143958264,0,53.0
