ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2018-01-01,45,39948,617,Employed,Master,22,13152,48,1,2,Own,183,0.3544179188076587,1,2,0.3583355996981915,0,Home,0,29,9,7632,1202,146111,19183,3329.0,0.7249720460524032,11,126928,0.199652,0.2275896303554705,419.8059915607372,0.1810771978253941,0,49.0
2018-01-06,37,178310,626,Self-Employed,Master,16,15433,72,1,0,Rent,732,0.102211336838256,5,1,0.2593664008403899,0,Debt Consolidation,1,16,19,2118,1223,67914,40843,14859.166666666666,0.7560793594714331,5,27071,0.217433,0.2176011551228336,385.5770741531959,0.0752112887097658,1,44.0
2018-01-21,57,106749,630,Employed,Master,30,15698,48,0,0,Rent,1059,0.1325425984776519,0,1,0.1472796820224425,0,Auto,0,21,14,1686,4304,212568,8152,8895.75,0.8543548081496882,4,204416,0.195698,0.2044126918976523,481.3942885517428,0.1731606990474937,1,32.800000000000004
2018-01-25,33,39676,555,Employed,Master,12,47795,60,0,1,Other,199,0.3465198640320265,2,1,0.5733945375308696,0,Home,0,19,4,840,1085,157749,76577,3306.333333333333,0.5835994945074672,4,81172,0.275295,0.2534741417542575,1412.5978905237318,0.4874275301513454,0,60.0
2018-01-29,32,35498,622,Employed,Master,10,11136,36,1,0,Own,698,0.3907447101416139,2,0,0.1764443521487324,0,Home,0,18,17,1346,205,34189,31484,2958.1666666666665,0.703667984211605,3,2705,0.185136,0.1648459712586028,394.1781845250898,0.369207792391151,0,48.0
2018-02-01,62,73843,667,Unemployed,Master,37,44668,60,0,1,Other,388,0.2959583202347089,7,2,0.1569137013697023,1,Home,0,16,3,17023,3352,56887,90622,6153.583333333333,0.9446486535560504,5,3068,0.2161679999999999,0.2346033277950418,1271.0537546851097,0.2696077496339709,0,62.0
2018-02-07,18,24914,604,Employed,Master,0,8015,36,1,4,Mortgage,327,0.3761587952008543,1,4,0.6442658599722689,0,Auto,0,17,28,2612,199,49999,8146,2076.1666666666665,0.9260164572637286,7,41853,0.191015,0.152812,278.94758109438794,0.2918588333118991,1,45.6
2018-03-01,51,105087,653,Employed,Master,33,48331,108,0,1,Mortgage,772,0.1169995622862777,5,1,0.1805575456028504,0,Auto,1,22,24,21204,2121,201313,59261,8757.25,0.5741986017645414,4,142052,0.266831,0.2737124988995358,1208.1533253808643,0.2261158840253349,0,44.0
2018-03-02,34,15000,607,Employed,Master,11,26412,96,1,1,Own,468,0.0312666074670237,1,2,0.3501123923122793,0,Home,0,18,22,2232,2085,234374,11163,1250.0,0.8258669004979884,6,223211,0.257912,0.2764505169969469,685.4486806693817,0.9227589445355052,0,48.0
2018-03-14,39,190445,619,Employed,Master,16,28894,36,0,3,Mortgage,304,0.2636491392588649,4,1,0.0128331622197715,0,Other,0,24,8,2857,956,154003,38230,15870.416666666666,0.9612516119421664,6,115773,0.204394,0.2141253058596204,1094.712989199109,0.0881333501556318,1,33.6
